set_program_name,0 3673,0 36,1722008291 181628,0 111
initialize_exit_failure,0 3726,0 23,1722008291 181846,0 359
default_block_size,0 3831,0 16,1722008291 182833,0 53
humblock,0 3813,0 51,1722008291 182780,0 157
human_options,0 3793,0 87,1722008291 182692,0 295
stdout_isatty,0 3895,0 15,1722008291 183036,0 50
stdout_isatty,0 3925,0 15,1722008291 183136,0 46
stdout_isatty,0 3955,0 14,1722008291 183231,0 48
getenv_quoting_style,0 3984,0 15,1722008291 183327,0 49
stdout_isatty,0 4014,0 15,1722008291 183434,0 50
set_quoting_style,0 4046,0 16,1722008291 183534,0 50
get_quoting_style,0 4079,0 17,1722008291 183633,0 50
check_nonnull,0 4163,0 19,1722008291 183882,0 52
xmalloc,0 4147,0 57,1722008291 183833,0 167
xmemdup,0 4130,0 98,1722008291 183783,0 293
clone_quoting_options,0 4112,0 139,1722008291 183732,0 418
check_nonnull,0 4347,0 24,1722008291 184450,0 74
xmalloc,0 4323,0 72,1722008291 184376,0 231
xmemdup,0 4298,0 123,1722008291 184298,0 385
clone_quoting_options,0 4274,0 177,1722008291 184225,0 669
set_char_quoting,0 4475,0 24,1722008291 185009,0 103
decode_switches,0 3769,0 752,1722008291 182403,0 3542
tzalloc,0 4546,0 24,1722008291 186197,0 341
xreallocarray,0 4618,0 27,1722008291 186823,0 82
xnmalloc,0 4593,0 77,1722008291 186682,0 303
clear_files,0 4691,0 22,1722008291 187059,0 72
check_nonnull,0 4780,0 25,1722008291 187347,0 73
xmalloc,0 4755,0 74,1722008291 187270,0 224
check_nonnull,0 4927,0 24,1722008291 187789,0 73
xmalloc,0 4902,0 73,1722008291 187715,0 226
xmemdup,0 4878,0 122,1722008291 187641,0 375
xstrdup,0 4853,0 171,1722008291 187566,0 523
queue_directory,0 4733,0 314,1722008291 187200,0 961
clear_files,0 5092,0 24,1722008291 188358,0 78
file_ignored,0 5138,0 20,1722008291 188563,0 69
process_signals,0 5180,0 20,1722008291 188705,0 107
file_ignored,0 5221,0 18,1722008291 188982,0 128
process_signals,0 5264,0 22,1722008291 189410,0 254
patterns_match,0 5332,0 17,1722008291 190141,0 450
